index,dt,day,month,year,City,AverageTemperature,AverageTemperatureUncertainty,Latitude,Longitude
51741,1749-06-01,1,6,1749,Chicago,,,42.59N,87.27W
51742,1749-07-01,1,7,1749,Chicago,,,42.59N,87.27W
51743,1749-08-01,1,8,1749,Chicago,,,42.59N,87.27W
51744,1749-09-01,1,9,1749,Chicago,,,42.59N,87.27W
51745,1749-10-01,1,10,1749,Chicago,,,42.59N,87.27W
51746,1749-11-01,1,11,1749,Chicago,,,42.59N,87.27W
51747,1749-12-01,1,12,1749,Chicago,,,42.59N,87.27W
51748,1750-01-01,1,1,1750,Chicago,-0.966,2.577,42.59N,87.27W
51749,1750-02-01,1,2,1750,Chicago,0.095,2.736,42.59N,87.27W
51750,1750-03-01,1,3,1750,Chicago,3.723,2.789,42.59N,87.27W
51751,1750-04-01,1,4,1750,Chicago,7.189,1.983,42.59N,87.27W
51752,1750-05-01,1,5,1750,Chicago,12.124,2.103,42.59N,87.27W
51753,1750-06-01,1,6,1750,Chicago,16.898,1.875,42.59N,87.27W
51754,1750-07-01,1,7,1750,Chicago,23.713,1.699,42.59N,87.27W
51755,1750-08-01,1,8,1750,Chicago,23.249,1.656,42.59N,87.27W
51756,1750-09-01,1,9,1750,Chicago,18.392,1.795,42.59N,87.27W
51757,1750-10-01,1,10,1750,Chicago,10.27,2.045,42.59N,87.27W
51758,1750-11-01,1,11,1750,Chicago,,,42.59N,87.27W
51759,1750-12-01,1,12,1750,Chicago,0.6579999999999999,2.504,42.59N,87.27W
51760,1751-01-01,1,1,1751,Chicago,-1.009,2.638,42.59N,87.27W
51761,1751-02-01,1,2,1751,Chicago,-0.95,2.682,42.59N,87.27W
51762,1751-03-01,1,3,1751,Chicago,4.189,2.454,42.59N,87.27W
51763,1751-04-01,1,4,1751,Chicago,6.606,2.012,42.59N,87.27W
51764,1751-05-01,1,5,1751,Chicago,,,42.59N,87.27W
51765,1751-06-01,1,6,1751,Chicago,18.166,1.853,42.59N,87.27W
51766,1751-07-01,1,7,1751,Chicago,22.473000000000003,1.646,42.59N,87.27W
51767,1751-08-01,1,8,1751,Chicago,22.78700000000001,1.634,42.59N,87.27W
51768,1751-09-01,1,9,1751,Chicago,17.281,1.749,42.59N,87.27W
51769,1751-10-01,1,10,1751,Chicago,,,42.59N,87.27W
51770,1751-11-01,1,11,1751,Chicago,,,42.59N,87.27W
51771,1751-12-01,1,12,1751,Chicago,,,42.59N,87.27W
51772,1752-01-01,1,1,1752,Chicago,-4.109,2.793,42.59N,87.27W
51773,1752-02-01,1,2,1752,Chicago,,,42.59N,87.27W
51774,1752-03-01,1,3,1752,Chicago,4.327999999999999,2.463,42.59N,87.27W
51775,1752-04-01,1,4,1752,Chicago,6.25,2.065,42.59N,87.27W
51776,1752-05-01,1,5,1752,Chicago,,,42.59N,87.27W
51777,1752-06-01,1,6,1752,Chicago,,,42.59N,87.27W
51778,1752-07-01,1,7,1752,Chicago,,,42.59N,87.27W
51779,1752-08-01,1,8,1752,Chicago,,,42.59N,87.27W
51780,1752-09-01,1,9,1752,Chicago,,,42.59N,87.27W
51781,1752-10-01,1,10,1752,Chicago,11.161,2.146,42.59N,87.27W
51782,1752-11-01,1,11,1752,Chicago,7.7349999999999985,2.007,42.59N,87.27W
51783,1752-12-01,1,12,1752,Chicago,1.646,2.399,42.59N,87.27W
51784,1753-01-01,1,1,1753,Chicago,-1.134,4.24,42.59N,87.27W
51785,1753-02-01,1,2,1753,Chicago,-0.385,3.697,42.59N,87.27W
51786,1753-03-01,1,3,1753,Chicago,4.7490000000000006,3.417,42.59N,87.27W
51787,1753-04-01,1,4,1753,Chicago,6.721,4.835,42.59N,87.27W
51788,1753-05-01,1,5,1753,Chicago,12.51,2.102,42.59N,87.27W
51789,1753-06-01,1,6,1753,Chicago,18.705,2.763,42.59N,87.27W
51790,1753-07-01,1,7,1753,Chicago,22.391,2.234,42.59N,87.27W
51791,1753-08-01,1,8,1753,Chicago,22.427,4.3210000000000015,42.59N,87.27W
51792,1753-09-01,1,9,1753,Chicago,17.73,2.116,42.59N,87.27W
51793,1753-10-01,1,10,1753,Chicago,12.347,2.106,42.59N,87.27W
51794,1753-11-01,1,11,1753,Chicago,5.638,2.303,42.59N,87.27W
51795,1753-12-01,1,12,1753,Chicago,-1.17,4.023,42.59N,87.27W
51796,1754-01-01,1,1,1754,Chicago,-0.8549999999999999,3.2,42.59N,87.27W
51797,1754-02-01,1,2,1754,Chicago,-1.967,3.571,42.59N,87.27W
51798,1754-03-01,1,3,1754,Chicago,3.069,3.482,42.59N,87.27W
51799,1754-04-01,1,4,1754,Chicago,,,42.59N,87.27W
51800,1754-05-01,1,5,1754,Chicago,,,42.59N,87.27W
51801,1754-06-01,1,6,1754,Chicago,18.245,2.214,42.59N,87.27W
51802,1754-07-01,1,7,1754,Chicago,22.237,2.255,42.59N,87.27W
51803,1754-08-01,1,8,1754,Chicago,22.269,2.855,42.59N,87.27W
51804,1754-09-01,1,9,1754,Chicago,17.717,2.403,42.59N,87.27W
51805,1754-10-01,1,10,1754,Chicago,13.231,2.513,42.59N,87.27W
51806,1754-11-01,1,11,1754,Chicago,,,42.59N,87.27W
51807,1754-12-01,1,12,1754,Chicago,1.828,2.48,42.59N,87.27W
51808,1755-01-01,1,1,1755,Chicago,-1.6189999999999998,4.632,42.59N,87.27W
51809,1755-02-01,1,2,1755,Chicago,-0.8709999999999999,3.079,42.59N,87.27W
51810,1755-03-01,1,3,1755,Chicago,2.331,3.3280000000000003,42.59N,87.27W
51811,1755-04-01,1,4,1755,Chicago,7.687,3.454,42.59N,87.27W
51812,1755-05-01,1,5,1755,Chicago,12.764,2.712,42.59N,87.27W
51813,1755-06-01,1,6,1755,Chicago,18.68,2.725,42.59N,87.27W
51814,1755-07-01,1,7,1755,Chicago,,,42.59N,87.27W
51815,1755-08-01,1,8,1755,Chicago,,,42.59N,87.27W
51816,1755-09-01,1,9,1755,Chicago,17.97,1.88,42.59N,87.27W
51817,1755-10-01,1,10,1755,Chicago,11.196,3.692,42.59N,87.27W
51818,1755-11-01,1,11,1755,Chicago,6.135999999999999,3.925,42.59N,87.27W
51819,1755-12-01,1,12,1755,Chicago,-0.1680000000000001,5.242000000000001,42.59N,87.27W
51820,1756-01-01,1,1,1756,Chicago,0.492,3.781,42.59N,87.27W
51821,1756-02-01,1,2,1756,Chicago,3.047,2.8160000000000003,42.59N,87.27W
51822,1756-03-01,1,3,1756,Chicago,,,42.59N,87.27W
51823,1756-04-01,1,4,1756,Chicago,,,42.59N,87.27W
51824,1756-05-01,1,5,1756,Chicago,,,42.59N,87.27W
51825,1756-06-01,1,6,1756,Chicago,18.559,2.211,42.59N,87.27W
51826,1756-07-01,1,7,1756,Chicago,22.016,1.822,42.59N,87.27W
51827,1756-08-01,1,8,1756,Chicago,21.958,4.766,42.59N,87.27W
51828,1756-09-01,1,9,1756,Chicago,18.964,2.548,42.59N,87.27W
51829,1756-10-01,1,10,1756,Chicago,11.175999999999998,3.025,42.59N,87.27W
51830,1756-11-01,1,11,1756,Chicago,4.866999999999999,3.45,42.59N,87.27W
51831,1756-12-01,1,12,1756,Chicago,-0.7090000000000001,2.602,42.59N,87.27W
51832,1757-01-01,1,1,1757,Chicago,-2.988,2.925,42.59N,87.27W
51833,1757-02-01,1,2,1757,Chicago,1.207,3.011,42.59N,87.27W
51834,1757-03-01,1,3,1757,Chicago,3.3080000000000003,3.215,42.59N,87.27W
51835,1757-04-01,1,4,1757,Chicago,6.697,3.128,42.59N,87.27W
51836,1757-05-01,1,5,1757,Chicago,12.962,2.312,42.59N,87.27W
51837,1757-06-01,1,6,1757,Chicago,20.839,2.476,42.59N,87.27W
51838,1757-07-01,1,7,1757,Chicago,24.795,3.218,42.59N,87.27W
51839,1757-08-01,1,8,1757,Chicago,22.97300000000001,3.962,42.59N,87.27W
51840,1757-09-01,1,9,1757,Chicago,,,42.59N,87.27W
51841,1757-10-01,1,10,1757,Chicago,10.44,5.331,42.59N,87.27W
51842,1757-11-01,1,11,1757,Chicago,4.776999999999999,3.783,42.59N,87.27W
51843,1757-12-01,1,12,1757,Chicago,-0.5430000000000001,4.372,42.59N,87.27W
51844,1758-01-01,1,1,1758,Chicago,-3.954,2.704,42.59N,87.27W
51845,1758-02-01,1,2,1758,Chicago,-1.401,3.136,42.59N,87.27W
51846,1758-03-01,1,3,1758,Chicago,2.393,3.759,42.59N,87.27W
51847,1758-04-01,1,4,1758,Chicago,6.143000000000002,5.84,42.59N,87.27W
51848,1758-05-01,1,5,1758,Chicago,10.42,3.743,42.59N,87.27W
51849,1758-06-01,1,6,1758,Chicago,17.026,3.615,42.59N,87.27W
51850,1758-07-01,1,7,1758,Chicago,21.18,4.771,42.59N,87.27W
51851,1758-08-01,1,8,1758,Chicago,20.225,3.505,42.59N,87.27W
51852,1758-09-01,1,9,1758,Chicago,16.564,2.215,42.59N,87.27W
51853,1758-10-01,1,10,1758,Chicago,8.2,6.249,42.59N,87.27W
51854,1758-11-01,1,11,1758,Chicago,6.268,6.466,42.59N,87.27W
51855,1758-12-01,1,12,1758,Chicago,0.2230000000000001,4.218,42.59N,87.27W
51856,1759-01-01,1,1,1759,Chicago,0.3619999999999999,4.883,42.59N,87.27W
51857,1759-02-01,1,2,1759,Chicago,1.917,5.644,42.59N,87.27W
51858,1759-03-01,1,3,1759,Chicago,3.404,2.6460000000000004,42.59N,87.27W
51859,1759-04-01,1,4,1759,Chicago,5.695,4.537,42.59N,87.27W
51860,1759-05-01,1,5,1759,Chicago,11.164,2.262,42.59N,87.27W
51861,1759-06-01,1,6,1759,Chicago,17.175,3.289,42.59N,87.27W
51862,1759-07-01,1,7,1759,Chicago,19.852,2.405,42.59N,87.27W
51863,1759-08-01,1,8,1759,Chicago,22.048,4.423,42.59N,87.27W
51864,1759-09-01,1,9,1759,Chicago,18.57,3.378,42.59N,87.27W
51865,1759-10-01,1,10,1759,Chicago,12.078,3.2030000000000003,42.59N,87.27W
51866,1759-11-01,1,11,1759,Chicago,5.468,4.149,42.59N,87.27W
51867,1759-12-01,1,12,1759,Chicago,-2.6750000000000003,6.902,42.59N,87.27W
51868,1760-01-01,1,1,1760,Chicago,-2.882,3.003,42.59N,87.27W
51869,1760-02-01,1,2,1760,Chicago,0.248,3.554,42.59N,87.27W
51870,1760-03-01,1,3,1760,Chicago,1.2859999999999998,4.452,42.59N,87.27W
51871,1760-04-01,1,4,1760,Chicago,6.5870000000000015,3.94,42.59N,87.27W
51872,1760-05-01,1,5,1760,Chicago,10.893,3.071,42.59N,87.27W
51873,1760-06-01,1,6,1760,Chicago,15.919,2.541,42.59N,87.27W
51874,1760-07-01,1,7,1760,Chicago,,,42.59N,87.27W
51875,1760-08-01,1,8,1760,Chicago,22.532,4.505,42.59N,87.27W
51876,1760-09-01,1,9,1760,Chicago,17.887,3.956,42.59N,87.27W
51877,1760-10-01,1,10,1760,Chicago,10.729,3.355,42.59N,87.27W
51878,1760-11-01,1,11,1760,Chicago,5.441999999999998,2.6460000000000004,42.59N,87.27W
51879,1760-12-01,1,12,1760,Chicago,-0.098,2.632,42.59N,87.27W
51880,1761-01-01,1,1,1761,Chicago,-3.769,5.645,42.59N,87.27W
51881,1761-02-01,1,2,1761,Chicago,0.155,3.219,42.59N,87.27W
51882,1761-03-01,1,3,1761,Chicago,4.513999999999999,2.486,42.59N,87.27W
51883,1761-04-01,1,4,1761,Chicago,6.0950000000000015,2.838,42.59N,87.27W
51884,1761-05-01,1,5,1761,Chicago,14.284,2.793,42.59N,87.27W
51885,1761-06-01,1,6,1761,Chicago,22.058000000000003,2.204,42.59N,87.27W
51886,1761-07-01,1,7,1761,Chicago,27.799,2.389,42.59N,87.27W
51887,1761-08-01,1,8,1761,Chicago,22.708,2.191,42.59N,87.27W
51888,1761-09-01,1,9,1761,Chicago,18.18,2.084,42.59N,87.27W
51889,1761-10-01,1,10,1761,Chicago,,,42.59N,87.27W
51890,1761-11-01,1,11,1761,Chicago,5.614,2.774,42.59N,87.27W
51891,1761-12-01,1,12,1761,Chicago,-3.2310000000000003,2.6010000000000004,42.59N,87.27W
51892,1762-01-01,1,1,1762,Chicago,,,42.59N,87.27W
51893,1762-02-01,1,2,1762,Chicago,0.992,3.122,42.59N,87.27W
51894,1762-03-01,1,3,1762,Chicago,1.921,3.885,42.59N,87.27W
51895,1762-04-01,1,4,1762,Chicago,7.564,2.866,42.59N,87.27W
51896,1762-05-01,1,5,1762,Chicago,11.665,4.4460000000000015,42.59N,87.27W
51897,1762-06-01,1,6,1762,Chicago,18.178,4.54,42.59N,87.27W
51898,1762-07-01,1,7,1762,Chicago,22.912,2.1830000000000003,42.59N,87.27W
51899,1762-08-01,1,8,1762,Chicago,,,42.59N,87.27W
51900,1762-09-01,1,9,1762,Chicago,17.434,4.956,42.59N,87.27W
51901,1762-10-01,1,10,1762,Chicago,10.142,2.889,42.59N,87.27W
51902,1762-11-01,1,11,1762,Chicago,6.51,2.0780000000000003,42.59N,87.27W
51903,1762-12-01,1,12,1762,Chicago,0.84,4.317,42.59N,87.27W
51904,1763-01-01,1,1,1763,Chicago,-3.089,2.854,42.59N,87.27W
51905,1763-02-01,1,2,1763,Chicago,-1.634,4.273,42.59N,87.27W
51906,1763-03-01,1,3,1763,Chicago,0.8080000000000003,4.362,42.59N,87.27W
51907,1763-04-01,1,4,1763,Chicago,6.416,2.036,42.59N,87.27W
51908,1763-05-01,1,5,1763,Chicago,10.889,2.417,42.59N,87.27W
51909,1763-06-01,1,6,1763,Chicago,16.727999999999998,3.767,42.59N,87.27W
51910,1763-07-01,1,7,1763,Chicago,,,42.59N,87.27W
51911,1763-08-01,1,8,1763,Chicago,22.265,2.343,42.59N,87.27W
51912,1763-09-01,1,9,1763,Chicago,17.79,2.12,42.59N,87.27W
51913,1763-10-01,1,10,1763,Chicago,,,42.59N,87.27W
51914,1763-11-01,1,11,1763,Chicago,5.035,2.847,42.59N,87.27W
51915,1763-12-01,1,12,1763,Chicago,1.965,2.55,42.59N,87.27W
51916,1764-01-01,1,1,1764,Chicago,-1.035,3.285,42.59N,87.27W
51917,1764-02-01,1,2,1764,Chicago,3.023,2.778,42.59N,87.27W
51918,1764-03-01,1,3,1764,Chicago,3.563,2.8510000000000004,42.59N,87.27W
51919,1764-04-01,1,4,1764,Chicago,,,42.59N,87.27W
51920,1764-05-01,1,5,1764,Chicago,,,42.59N,87.27W
51921,1764-06-01,1,6,1764,Chicago,15.594,2.7030000000000003,42.59N,87.27W
51922,1764-07-01,1,7,1764,Chicago,20.303,3.875,42.59N,87.27W
51923,1764-08-01,1,8,1764,Chicago,21.472,1.841,42.59N,87.27W
51924,1764-09-01,1,9,1764,Chicago,17.305999999999997,2.77,42.59N,87.27W
51925,1764-10-01,1,10,1764,Chicago,14.162,2.252,42.59N,87.27W
51926,1764-11-01,1,11,1764,Chicago,7.419,2.411,42.59N,87.27W
51927,1764-12-01,1,12,1764,Chicago,4.523999999999999,3.542,42.59N,87.27W
51928,1765-01-01,1,1,1765,Chicago,-0.25,4.988,42.59N,87.27W
51929,1765-02-01,1,2,1765,Chicago,1.1729999999999998,3.455,42.59N,87.27W
51930,1765-03-01,1,3,1765,Chicago,4.769,2.897,42.59N,87.27W
51931,1765-04-01,1,4,1765,Chicago,8.176,2.094,42.59N,87.27W
51932,1765-05-01,1,5,1765,Chicago,11.936,2.298,42.59N,87.27W
51933,1765-06-01,1,6,1765,Chicago,,,42.59N,87.27W
51934,1765-07-01,1,7,1765,Chicago,21.194000000000003,3.169,42.59N,87.27W
51935,1765-08-01,1,8,1765,Chicago,22.261,2.381,42.59N,87.27W
51936,1765-09-01,1,9,1765,Chicago,18.205,2.018,42.59N,87.27W
51937,1765-10-01,1,10,1765,Chicago,11.595,1.998,42.59N,87.27W
51938,1765-11-01,1,11,1765,Chicago,7.017,3.323,42.59N,87.27W
51939,1765-12-01,1,12,1765,Chicago,1.548,2.661,42.59N,87.27W
51940,1766-01-01,1,1,1766,Chicago,-2.8,4.099,42.59N,87.27W
51941,1766-02-01,1,2,1766,Chicago,2.2150000000000003,2.849,42.59N,87.27W
51942,1766-03-01,1,3,1766,Chicago,3.733,2.829,42.59N,87.27W
51943,1766-04-01,1,4,1766,Chicago,7.087999999999999,3.158,42.59N,87.27W
51944,1766-05-01,1,5,1766,Chicago,11.979,2.251,42.59N,87.27W
51945,1766-06-01,1,6,1766,Chicago,17.952,5.091,42.59N,87.27W
51946,1766-07-01,1,7,1766,Chicago,21.458,3.005,42.59N,87.27W
51947,1766-08-01,1,8,1766,Chicago,23.179,2.508,42.59N,87.27W
51948,1766-09-01,1,9,1766,Chicago,19.782,2.812,42.59N,87.27W
51949,1766-10-01,1,10,1766,Chicago,12.003,2.235,42.59N,87.27W
51950,1766-11-01,1,11,1766,Chicago,8.307,3.064,42.59N,87.27W
51951,1766-12-01,1,12,1766,Chicago,1.028,3.005,42.59N,87.27W
51952,1767-01-01,1,1,1767,Chicago,-2.199,4.253,42.59N,87.27W
51953,1767-02-01,1,2,1767,Chicago,0.3170000000000001,5.8370000000000015,42.59N,87.27W
51954,1767-03-01,1,3,1767,Chicago,4.192,4.771,42.59N,87.27W
51955,1767-04-01,1,4,1767,Chicago,6.175000000000002,3.053,42.59N,87.27W
51956,1767-05-01,1,5,1767,Chicago,10.793,2.153,42.59N,87.27W
51957,1767-06-01,1,6,1767,Chicago,,,42.59N,87.27W
51958,1767-07-01,1,7,1767,Chicago,21.402,2.761,42.59N,87.27W
51959,1767-08-01,1,8,1767,Chicago,23.853,1.959,42.59N,87.27W
51960,1767-09-01,1,9,1767,Chicago,18.316,2.637,42.59N,87.27W
51961,1767-10-01,1,10,1767,Chicago,12.399,2.3080000000000003,42.59N,87.27W
51962,1767-11-01,1,11,1767,Chicago,8.331,4.636,42.59N,87.27W
51963,1767-12-01,1,12,1767,Chicago,-0.0209999999999999,3.785,42.59N,87.27W
51964,1768-01-01,1,1,1768,Chicago,-3.124,6.232,42.59N,87.27W
51965,1768-02-01,1,2,1768,Chicago,0.4650000000000001,7.209,42.59N,87.27W
51966,1768-03-01,1,3,1768,Chicago,0.9209999999999998,4.432,42.59N,87.27W
51967,1768-04-01,1,4,1768,Chicago,5.3260000000000005,2.135,42.59N,87.27W
51968,1768-05-01,1,5,1768,Chicago,10.108,2.372,42.59N,87.27W
51969,1768-06-01,1,6,1768,Chicago,15.932,2.772,42.59N,87.27W
51970,1768-07-01,1,7,1768,Chicago,20.997,2.944,42.59N,87.27W
51971,1768-08-01,1,8,1768,Chicago,21.427,1.7,42.59N,87.27W
51972,1768-09-01,1,9,1768,Chicago,17.869,2.724,42.59N,87.27W
51973,1768-10-01,1,10,1768,Chicago,11.43,3.259,42.59N,87.27W
51974,1768-11-01,1,11,1768,Chicago,5.409,3.914,42.59N,87.27W
51975,1768-12-01,1,12,1768,Chicago,0.62,5.283,42.59N,87.27W
51976,1769-01-01,1,1,1769,Chicago,-1.071,5.62,42.59N,87.27W
51977,1769-02-01,1,2,1769,Chicago,-0.6849999999999999,2.923,42.59N,87.27W
51978,1769-03-01,1,3,1769,Chicago,2.499,3.978,42.59N,87.27W
51979,1769-04-01,1,4,1769,Chicago,7.6960000000000015,3.304,42.59N,87.27W
51980,1769-05-01,1,5,1769,Chicago,13.01,4.77,42.59N,87.27W
51981,1769-06-01,1,6,1769,Chicago,19.216,2.257,42.59N,87.27W
51982,1769-07-01,1,7,1769,Chicago,22.698,3.323,42.59N,87.27W
51983,1769-08-01,1,8,1769,Chicago,22.665,3.587,42.59N,87.27W
51984,1769-09-01,1,9,1769,Chicago,18.541,1.902,42.59N,87.27W
51985,1769-10-01,1,10,1769,Chicago,9.534,2.443,42.59N,87.27W
51986,1769-11-01,1,11,1769,Chicago,4.254,1.939,42.59N,87.27W
51987,1769-12-01,1,12,1769,Chicago,-0.863,3.096,42.59N,87.27W
51988,1770-01-01,1,1,1770,Chicago,-1.571,5.171,42.59N,87.27W
51989,1770-02-01,1,2,1770,Chicago,0.907,3.639,42.59N,87.27W
51990,1770-03-01,1,3,1770,Chicago,0.3260000000000001,3.333,42.59N,87.27W
51991,1770-04-01,1,4,1770,Chicago,7.947,7.08,42.59N,87.27W
51992,1770-05-01,1,5,1770,Chicago,11.140999999999998,2.066,42.59N,87.27W
51993,1770-06-01,1,6,1770,Chicago,16.722,3.4160000000000004,42.59N,87.27W
51994,1770-07-01,1,7,1770,Chicago,20.557,4.979,42.59N,87.27W
51995,1770-08-01,1,8,1770,Chicago,21.382,3.004,42.59N,87.27W
51996,1770-09-01,1,9,1770,Chicago,17.945,2.734,42.59N,87.27W
51997,1770-10-01,1,10,1770,Chicago,11.399,2.188,42.59N,87.27W
51998,1770-11-01,1,11,1770,Chicago,6.792000000000001,4.908,42.59N,87.27W
51999,1770-12-01,1,12,1770,Chicago,2.366,3.995,42.59N,87.27W
52000,1771-01-01,1,1,1771,Chicago,2.432,6.182,42.59N,87.27W
52001,1771-02-01,1,2,1771,Chicago,-2.438,2.8,42.59N,87.27W
52002,1771-03-01,1,3,1771,Chicago,2.533,3.809,42.59N,87.27W
52003,1771-04-01,1,4,1771,Chicago,6.037000000000001,3.84,42.59N,87.27W
52004,1771-05-01,1,5,1771,Chicago,11.729,6.405,42.59N,87.27W
52005,1771-06-01,1,6,1771,Chicago,18.202,2.224,42.59N,87.27W
52006,1771-07-01,1,7,1771,Chicago,21.758000000000003,1.918,42.59N,87.27W
52007,1771-08-01,1,8,1771,Chicago,23.648000000000003,2.411,42.59N,87.27W
52008,1771-09-01,1,9,1771,Chicago,18.709,1.941,42.59N,87.27W
52009,1771-10-01,1,10,1771,Chicago,14.217,1.986,42.59N,87.27W
52010,1771-11-01,1,11,1771,Chicago,7.393,1.919,42.59N,87.27W
52011,1771-12-01,1,12,1771,Chicago,1.101,2.932,42.59N,87.27W
52012,1772-01-01,1,1,1772,Chicago,-1.4480000000000002,6.534,42.59N,87.27W
52013,1772-02-01,1,2,1772,Chicago,-0.8879999999999999,5.457999999999998,42.59N,87.27W
52014,1772-03-01,1,3,1772,Chicago,0.7979999999999999,2.954,42.59N,87.27W
52015,1772-04-01,1,4,1772,Chicago,7.825,2.8710000000000004,42.59N,87.27W
52016,1772-05-01,1,5,1772,Chicago,10.691,2.247,42.59N,87.27W
52017,1772-06-01,1,6,1772,Chicago,16.855,3.785,42.59N,87.27W
52018,1772-07-01,1,7,1772,Chicago,22.488000000000003,2.702,42.59N,87.27W
52019,1772-08-01,1,8,1772,Chicago,22.81900000000001,2.478,42.59N,87.27W
52020,1772-09-01,1,9,1772,Chicago,17.293,2.345,42.59N,87.27W
52021,1772-10-01,1,10,1772,Chicago,13.263,2.572,42.59N,87.27W
52022,1772-11-01,1,11,1772,Chicago,8.652000000000001,3.1260000000000003,42.59N,87.27W
52023,1772-12-01,1,12,1772,Chicago,4.914,3.422,42.59N,87.27W
52024,1773-01-01,1,1,1773,Chicago,-1.998,3.238,42.59N,87.27W
